balance,birthdate,cust_id,customer_type,gender,join_date,name,number_of_accounts,pep
13521.64118421771,1970-12-02,0,corporate,male,1977-08-27,Martin Sheppard,12,False
16048.514127641927,2008-01-24,1,private,male,1977-03-29,Daniel Everett,5,False
2695.87666905298,2012-04-03,2,corporate,male,1998-05-12,Rachel Davis,3,False
10420.879276105059,2004-07-10,3,private,male,2004-02-21,Stacey Thompson,14,True
5500.606399475897,1990-01-13,4,corporate,male,1989-12-05,Sara Cross,2,False
10962.370135379324,2017-01-26,5,corporate,female,1970-10-08,Jennifer Mitchell,3,True
13228.45120038051,2007-10-11,6,private,male,1993-10-04,Clinton Mathis,1,True
2552.1815187813245,2011-01-09,7,corporate,female,1974-06-18,Rebecca Ball,12,False
6029.074092882834,2011-06-29,8,private,female,1988-11-27,Ryan Garcia,5,True
11124.072112664462,2001-06-28,9,private,male,2005-08-31,Donna Morris,7,False
9584.62599985347,1999-05-03,10,corporate,female,2018-03-24,Ashley Sheppard,5,False
21635.862513697575,1975-04-26,11,corporate,male,1994-01-06,Jennifer Johnson,13,False
7875.690774801193,2011-11-08,12,private,female,1979-08-13,Charles Henderson,6,True
14396.993354952081,1990-04-06,13,private,female,2014-10-17,Richard Reed,7,True
8109.4354484152145,1995-03-27,14,private,female,1976-08-06,Julie Lucas,12,True
2198.4396709436064,2005-10-16,15,corporate,male,2006-05-01,Marissa Butler,8,False
6114.1411704435595,2005-01-29,16,private,female,1992-02-01,Colleen Mccormick,7,True
6576.499193257812,2005-03-23,17,private,female,2004-05-06,Jesse Meyer,7,True
10214.488799999535,1971-02-01,18,corporate,male,2005-08-07,Kevin Gamble,4,True
14545.634675316707,2006-03-10,19,corporate,male,2011-10-16,Cheryl Lewis,8,True
10962.691820855354,1983-04-03,20,private,male,2011-10-16,Laura Johnson,12,True
11008.791553414816,1985-12-08,21,corporate,male,2008-06-16,John Brown,8,False
1787.338122423848,1998-01-04,22,corporate,female,2010-02-01,Jason Whitehead,12,False
6567.851223265554,2012-03-30,23,private,male,2010-04-30,Paul Mercer,10,False
2810.4476197909867,1989-06-11,24,corporate,male,1991-10-25,Sarah Duke,12,True
17656.514245221802,1974-01-27,25,private,female,2002-11-14,Rachel Bailey,3,False
3640.850643691588,2012-09-09,26,corporate,male,1992-05-10,Chad Brown,2,True
9925.23039905096,1973-09-23,27,private,male,2006-09-30,Gregory Wilson,13,False
8590.646745001159,1995-09-25,28,corporate,female,1982-06-12,Dr. Christine Rose,10,True
12075.381063591562,1987-04-01,29,corporate,female,1995-08-02,Philip Anderson,9,False
7626.027660819818,1970-02-15,30,private,male,1997-11-13,Rebecca Monroe,12,False
1481.8294399266297,1980-01-17,31,private,female,1984-12-31,Casey Moreno,2,False
15837.880604999213,1975-10-27,32,corporate,female,1981-01-12,Jason King,14,True
1710.3048468691804,1994-07-21,33,private,female,1984-02-11,Gina Li,8,False
5211.934069413343,1997-03-29,34,private,male,2003-10-24,Daniel Singh,11,True
13073.3033041415,1982-05-01,35,private,female,1990-09-30,Julia Sharp,7,True
437.4779721190832,1987-08-13,36,corporate,female,2012-10-12,Michael Glenn,14,True
10682.522562213177,1995-07-02,37,corporate,female,2005-12-01,Lee Reid,2,True
636.1357023260672,1987-07-07,38,corporate,female,2000-11-04,Daniel Quinn,13,False
10226.59832453547,1984-08-01,39,corporate,female,2012-04-05,Ashlee Curry,9,True
7803.4699454052015,2009-11-01,40,private,male,1988-02-05,Laurie Monroe,13,True
277.49846514434296,1986-01-19,41,private,female,1986-05-27,Mark Alvarado,6,True
2656.2433272132603,2013-07-25,42,private,male,1977-11-11,Bryan Sanchez,2,True
3710.9577346385804,2016-11-18,43,corporate,female,1979-01-16,Chad Evans,12,False
5821.965982127503,1992-10-20,44,corporate,male,1980-07-31,Jody Cook,14,True
8036.888550328649,1990-05-14,45,private,male,2000-04-16,Danielle Martinez,5,True
17312.656217306554,1998-08-20,46,corporate,male,1987-12-01,Joshua Harvey,6,True
4735.01793865366,1989-09-25,47,private,male,2013-12-03,Mrs. Breanna Oliver,1,False
10540.458608991003,1976-06-10,48,private,male,2013-10-13,Sharon Bradford,4,True
18110.655290343846,2006-06-24,49,private,female,1986-06-17,Tina Salas,2,True
6623.095938911112,1985-09-10,50,private,male,1986-03-29,Thomas Clark,9,False
10727.430598803043,1993-08-16,51,private,female,1999-12-13,Wendy Lee,2,False
5563.453823517682,1999-03-21,52,corporate,female,1997-03-29,Mary Rivera,11,True
9031.18632270657,1982-09-19,53,corporate,female,1983-04-19,Raven Ramirez,7,False
16041.87492292866,1971-03-17,54,corporate,male,2014-11-07,Matthew Williams,14,False
12366.581899250763,1972-07-05,55,private,male,2010-05-23,Ashley Lopez,2,True
10041.014586678148,2015-01-04,56,corporate,male,1977-05-22,Michael Mason,6,False
29475.10019362446,1974-11-02,57,private,male,2002-08-02,Andrea Parker,11,False
18783.226892550323,2003-07-29,58,private,male,1998-08-29,William Lewis,6,False
674.86035756278,1991-03-23,59,private,male,2015-02-24,Lori Salazar MD,14,True
961.6274227973798,1977-06-14,60,corporate,female,2003-05-12,Cheryl Blair,5,True
5743.711974767868,1984-04-05,61,corporate,male,2004-06-08,Kevin Herrera,13,False
3488.2812460037444,2006-07-29,62,corporate,male,1971-03-25,Chad Frazier,4,False
10239.625231627631,2003-12-13,63,private,male,2002-12-21,Michael Garcia,1,False
